date,city,tmax,tmin
2025-07-14,Phoenix,107.06,89.96000000000001
2025-07-15,Phoenix,107.06,86.0
2025-07-16,Phoenix,96.98,82.94
2025-04-20,Seattle,57.92,44.96
2025-04-21,Seattle,57.02,42.980000000000004
2025-04-22,Seattle,60.08,39.92
2025-04-23,Seattle,66.02000000000001,42.980000000000004
2025-04-24,Seattle,71.96000000000001,42.980000000000004
2025-04-25,Seattle,71.06,46.94
2025-04-26,Seattle,62.059999999999995,46.04
2025-04-27,Seattle,57.92,44.06
2025-04-28,Seattle,55.04,46.04
2025-04-29,Seattle,59.0,46.94
2025-04-30,Seattle,60.980000000000004,42.980000000000004
2025-05-01,Seattle,75.92,42.980000000000004
2025-05-02,Seattle,69.08,50.0
2025-05-03,Seattle,57.02,44.96
2025-05-04,Seattle,60.980000000000004,42.08
2025-05-05,Seattle,69.98,42.08
2025-05-06,Seattle,77.0,48.02
2025-05-07,Seattle,66.02000000000001,46.04
2025-05-08,Seattle,62.959999999999994,42.980000000000004
2025-05-09,Seattle,69.98,44.06
2025-05-10,Seattle,62.959999999999994,48.92
2025-05-11,Seattle,62.059999999999995,48.92
2025-05-12,Seattle,66.92,44.96
2025-05-13,Seattle,60.08,48.02
2025-05-14,Seattle,62.059999999999995,48.92
2025-05-15,Seattle,55.94,44.06
2025-05-16,Seattle,59.0,48.02
2025-05-17,Seattle,62.059999999999995,48.02
2025-05-18,Seattle,62.059999999999995,44.96
2025-05-19,Seattle,60.980000000000004,46.94
2025-05-20,Seattle,60.08,46.94
2025-05-21,Seattle,62.059999999999995,48.92
2025-05-22,Seattle,68.0,48.92
2025-05-23,Seattle,66.92,48.92
2025-05-24,Seattle,75.92,46.94
2025-05-25,Seattle,69.08,50.0
2025-05-26,Seattle,66.92,51.08
2025-05-27,Seattle,75.02000000000001,48.02
2025-05-28,Seattle,80.96000000000001,53.96
2025-05-29,Seattle,69.08,53.96
2025-05-30,Seattle,77.0,50.0
2025-05-31,Seattle,64.04,51.980000000000004
2025-06-01,Seattle,66.92,46.94
2025-06-02,Seattle,71.06,48.02
2025-06-03,Seattle,73.94,51.08
2025-06-04,Seattle,66.92,53.96
2025-06-05,Seattle,77.0,51.08
2025-06-06,Seattle,78.98,57.02
2025-06-07,Seattle,80.96000000000001,55.04
2025-06-08,Seattle,89.96000000000001,60.980000000000004
2025-06-09,Seattle,87.08000000000001,60.980000000000004
2025-06-10,Seattle,80.96000000000001,53.06
2025-06-11,Seattle,69.08,51.08
2025-06-12,Seattle,66.02000000000001,51.08
2025-06-13,Seattle,64.04,50.0
2025-06-14,Seattle,68.0,48.92
2025-06-15,Seattle,71.06,51.980000000000004
2025-06-16,Seattle,73.94,50.0
2025-06-17,Seattle,73.04,50.0
2025-06-18,Seattle,69.08,55.04
2025-06-19,Seattle,69.08,50.0
2025-06-20,Seattle,62.959999999999994,51.08
2025-06-21,Seattle,57.92,50.0
2025-06-22,Seattle,68.0,53.06
2025-06-23,Seattle,77.0,53.06
2025-06-24,Seattle,80.06,53.96
2025-06-25,Seattle,71.06,53.96
2025-06-26,Seattle,66.02000000000001,55.04
2025-06-27,Seattle,69.08,55.04
2025-06-28,Seattle,75.02000000000001,55.04
2025-06-29,Seattle,80.06,55.04
2025-06-30,Seattle,87.08000000000001,60.08
2025-07-01,Seattle,87.08000000000001,57.92
2025-07-02,Seattle,75.02000000000001,53.96
2025-07-03,Seattle,69.08,53.06
2025-07-04,Seattle,73.94,55.04
2025-07-05,Seattle,75.02000000000001,53.06
2025-07-06,Seattle,78.98,57.02
2025-07-07,Seattle,84.92,57.92
2025-07-08,Seattle,84.92,57.92
2025-07-09,Seattle,71.96000000000001,59.0
2025-07-10,Seattle,73.04,57.02
2025-07-11,Seattle,84.02000000000001,59.0
2025-07-12,Seattle,82.94,64.04
2025-07-13,Seattle,89.96000000000001,64.04
2025-07-14,Seattle,78.08,62.059999999999995
2025-07-15,Seattle,87.98,55.94
2025-07-16,Seattle,93.91999999999999,66.02000000000001
